year,Temperature,Precipitation,SeaIceFraction,CO2Concentration,EnergyBalance
2170,20.77352905,3.81E-05,1.42,1619.4,3.1843
2171,20.82998657,3.80E-05,1.44,1627.9,3.4393
2172,20.79244995,3.80E-05,1.55,1636.3,2.9651
2173,20.78781128,3.80E-05,1.52,1644.7,3.1443
2174,20.92007446,3.80E-05,1.44,1652.9,3.3983
2175,21.00112915,3.81E-05,1.49,1660.9,2.9911
2176,20.91726685,3.83E-05,1.49,1668.9,2.6643
2177,20.91430664,3.79E-05,1.40,1676.6,3.5276
2178,21.1105957,3.82E-05,1.22,1684.3,3.0272
2179,21.05422974,3.83E-05,1.18,1692.0,3.0211
2180,21.05621338,3.81E-05,1.12,1699.6,3.4975
2181,21.10861206,3.82E-05,1.06,1707.1,3.3028
2182,21.17593384,3.82E-05,1.08,1714.5,2.8762
2183,21.21408081,3.83E-05,0.98,1721.8,3.2227
2184,21.25494385,3.83E-05,0.99,1729.0,3.3531
2185,21.33279419,3.84E-05,1.03,1736.1,2.4935
2186,21.23974609,3.84E-05,1.01,1743.0,3.2746
2187,21.14477539,3.82E-05,1.01,1749.8,3.1640
2188,21.29318237,3.83E-05,0.94,1756.5,3.4040
2189,21.39505005,3.85E-05,0.87,1763.0,3.0762
2190,21.44732666,3.85E-05,0.93,1769.5,3.0573
2191,21.36022949,3.82E-05,0.92,1776.0,2.5317
2192,21.37976074,3.83E-05,0.89,1782.3,3.0870
2193,21.37963867,3.83E-05,0.84,1788.6,3.2177
2194,21.51626587,3.86E-05,0.82,1794.8,3.1381
2195,21.44915772,3.85E-05,0.91,1800.8,3.1707
2196,21.42633057,3.84E-05,0.81,1806.7,3.0201
2197,21.55758667,3.87E-05,1.02,1812.5,3.2805
2198,21.55825806,3.88E-05,0.89,1818.1,2.8223
2199,21.60742188,3.86E-05,0.77,1823.6,3.0683
2200,21.65527344,3.88E-05,0.77,1829.1,3.1784
2201,21.77160645,3.87E-05,0.62,1834.4,2.9563
2202,21.69869995,3.88E-05,0.62,1839.6,2.8725
2203,21.67266846,3.86E-05,0.69,1844.8,2.8341
2204,21.64770508,3.86E-05,0.78,1849.9,3.0308
2205,21.72537231,3.84E-05,0.73,1854.8,2.8064
2206,21.84490967,3.88E-05,0.62,1859.7,2.8854
2207,21.72140503,3.86E-05,0.63,1864.4,3.3661
2208,21.7618103,3.87E-05,0.74,1869.0,2.8314
2209,21.83822632,3.88E-05,0.70,1873.5,2.8675
2210,21.83639526,3.88E-05,0.62,1877.8,2.8788
2211,21.98013306,3.90E-05,0.66,1882.0,3.2528
2212,21.95593262,3.88E-05,0.70,1886.1,2.4832
2213,21.91323853,3.88E-05,0.62,1890.2,2.8628
2214,21.98434448,3.88E-05,0.71,1894.1,2.8376
2215,21.96166992,3.87E-05,0.64,1898.0,2.6293
2216,22.03048706,3.91E-05,0.62,1901.8,3.3767
2217,22.0123291,3.89E-05,0.58,1905.4,2.9323
2218,22.07562256,3.90E-05,0.47,1909.0,2.6539
2219,22.03683472,3.89E-05,0.56,1912.3,2.8611
2220,22.08062744,3.88E-05,0.50,1915.5,2.7311
2221,22.05908203,3.89E-05,0.59,1918.6,2.5777
2222,22.05636597,3.90E-05,0.56,1921.6,2.8242
2223,21.96502686,3.88E-05,0.60,1924.5,3.0847
2224,22.18688965,3.91E-05,0.51,1927.4,2.5941
2225,22.21255493,3.91E-05,0.51,1930.1,3.0038
2226,22.23504639,3.91E-05,0.53,1932.8,2.7051
2227,22.16552734,3.90E-05,0.49,1935.3,2.5298
2228,22.30319214,3.92E-05,0.49,1937.7,2.4535
2229,22.29644775,3.92E-05,0.38,1940.0,2.5132
2230,22.19363403,3.90E-05,0.44,1942.2,2.3269
2231,22.12969971,3.89E-05,0.49,1944.2,2.7744
2232,22.18716431,3.91E-05,0.46,1946.0,2.7933
2233,22.26989746,3.90E-05,0.49,1947.8,2.6466
2234,22.42108154,3.93E-05,0.39,1949.4,2.2753
2235,22.36459351,3.92E-05,0.00,1951.0,2.6833
2236,22.2578125,3.91E-05,0.00,1952.5,2.5292
2237,22.27105713,3.90E-05,0.00,1953.9,3.1455
2238,22.38357544,3.93E-05,0.00,1955.3,2.4581
2239,22.36672974,3.92E-05,0.00,1956.5,2.2486
2240,22.38357544,3.93E-05,0.00,1957.5,2.4385
2241,22.43695068,3.93E-05,0.00,1958.4,2.5464
2242,22.42834473,3.93E-05,0.45,1959.2,2.3292
2243,22.45108032,3.92E-05,0.46,1959.8,2.5658
2244,22.387146,3.91E-05,0.46,1960.3,2.6503
2245,22.45062256,3.92E-05,0.43,1960.7,2.6200
2246,22.52471924,3.92E-05,0.38,1961.1,2.4367
2247,22.45483398,3.92E-05,0.48,1961.3,2.2675
2248,22.48956299,3.94E-05,0.53,1961.5,2.3262
2249,22.52267456,3.92E-05,0.49,1961.6,2.5853
2250,22.43670654,3.92E-05,0.43,1961.6,2.1478
2251,22.50698853,3.90E-05,0.41,1961.6,2.3954
2252,22.56845093,3.94E-05,0.43,1961.6,2.5744
2253,22.57885742,3.94E-05,0.32,1961.6,2.5177
2254,22.52996826,3.93E-05,0.31,1961.6,2.7046
2255,22.52203369,3.93E-05,0.31,1961.6,2.4299
2256,22.5758667,3.94E-05,0.35,1961.6,2.3260
2257,22.67279053,3.95E-05,0.36,1961.6,2.4541
2258,22.5067749,3.94E-05,0.40,1961.6,1.9874
2259,22.50549316,3.92E-05,0.39,1961.6,2.6705
2260,22.50262451,3.91E-05,0.29,1961.6,2.2465
2261,22.62078857,3.94E-05,0.31,1961.6,2.5445
2262,22.66781616,3.94E-05,0.33,1961.6,2.2386
2263,22.6043396,3.94E-05,0.30,1961.6,2.1554
2264,22.60531616,3.94E-05,0.28,1961.6,2.0536
2265,22.74008179,3.96E-05,0.26,1961.6,2.2034
2266,22.57611084,3.93E-05,0.33,1961.6,2.2729
2267,22.63983154,3.94E-05,0.33,1961.6,2.0632
2268,22.58300781,3.95E-05,0.29,1961.6,2.3924
2269,22.59765625,3.95E-05,0.29,1961.6,2.2888
2270,22.62454224,3.93E-05,0.28,1961.6,2.4832
2271,22.66680908,3.94E-05,0.27,1961.6,2.2367
2272,22.5586853,3.93E-05,0.28,1961.6,2.3040
2273,22.71099854,3.94E-05,0.24,1961.6,2.6126
2274,22.78125,3.95E-05,0.18,1961.6,1.9915
2275,22.71759033,3.95E-05,0.28,1961.6,2.1294
2276,22.8203125,3.94E-05,0.26,1961.6,2.1987
2277,22.8293457,3.95E-05,0.25,1961.6,2.1294
2278,22.76306152,3.94E-05,0.28,1961.6,2.2932
2279,22.8543396,3.96E-05,0.24,1961.6,2.3044
2280,22.8699646,3.96E-05,0.23,1961.6,2.0886
2281,22.74588013,3.95E-05,0.28,1961.6,2.5437
2282,22.89520264,3.98E-05,0.25,1961.6,1.9615
2283,22.78768921,3.95E-05,0.28,1961.6,2.2945
2284,22.75180054,3.95E-05,0.22,1961.6,2.3064
2285,22.80960083,3.96E-05,0.27,1961.6,1.8591
2286,22.78189087,3.95E-05,0.23,1961.6,2.2655
2287,22.76452637,3.96E-05,0.27,1961.6,2.0257
2288,22.86380005,3.96E-05,0.24,1961.6,1.9846
2289,22.88864136,3.96E-05,0.23,1961.6,2.0595
2290,22.93432617,3.97E-05,0.25,1961.6,2.1125
2291,22.87313843,3.97E-05,0.28,1961.6,2.0696
2292,22.82504273,3.96E-05,0.26,1961.6,1.9435
2293,22.88247681,3.95E-05,0.22,1961.6,2.8822
2294,22.90679932,3.96E-05,0.33,1961.6,1.9689
2295,22.86785889,3.96E-05,0.28,1961.6,1.8403
2296,22.88864136,3.97E-05,0.29,1961.6,2.3333
2297,22.95715332,3.98E-05,0.24,1961.6,1.8547
2298,22.91293335,3.97E-05,0.23,1961.6,1.9079
2299,22.89086914,3.96E-05,0.25,1961.6,2.0398
2300,22.95913696,3.98E-05,0.25,1961.6,1.8483
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
